year,category,nominee,workers,winner,category clean,nominee_clean,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,imdb_id,original_language,original_title,popularity,genres,production_companies,production_countries,spoken_languages,release_year,title_clean,_merge
1980,Film | Actor in 1980,Jack Lemmon,The China Syndrome,True,Actor,jacklemmon,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actor in 1980,Woody Allen,Manhattan,False,Actor,woodyallen,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actor in 1980,Robert De Niro,The Deer Hunter,False,Actor,robertdeniro,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actor in 1980,Martin Sheen,Apocalypse Now,False,Actor,martinsheen,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actress in 1980,Jane Fonda,The China Syndrome,True,Actress,janefonda,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actress in 1980,Diane Keaton,Manhattan,False,Actress,dianekeaton,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actress in 1980,Maggie Smith,California Suite,False,Actress,maggiesmith,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actress in 1980,Meryl Streep,The Deer Hunter,False,Actress,merylstreep,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Anthony Asquith Award for Original Film Music in 1980,Days Of Heaven,Ennio Morricone,True,Anthony Asquith Award for Original Film Music,daysofheaven,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Anthony Asquith Award for Original Film Music in 1980,Alien,Jerry Goldsmith,False,Anthony Asquith Award for Original Film Music,alien,1118941.0,A Lien,8.0,1.0,Released,2023-05-11,0.0,15.0,False,0.0,,en,A Lien,0.6,Drama,,,,2023.0,alien,both
1980,Film | Anthony Asquith Award for Original Film Music in 1980,Apocalypse Now,"Carmine Coppola, Francis Ford Coppola",False,Anthony Asquith Award for Original Film Music,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Anthony Asquith Award for Original Film Music in 1980,Yanks,Richard Rodney Bennett,False,Anthony Asquith Award for Original Film Music,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Cinematography in 1980,The Deer Hunter,Vilmos Zsigmond,True,Cinematography,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Cinematography in 1980,Apocalypse Now,Vittorio Storaro,False,Cinematography,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Cinematography in 1980,Manhattan,Gordon Willis,False,Cinematography,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Cinematography in 1980,Yanks,Dick Bush,False,Cinematography,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Costume Design in 1980,Yanks,Shirley Russell,True,Costume Design,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Costume Design in 1980,Agatha,Shirley Russell,False,Costume Design,agatha,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Costume Design in 1980,Alien,John Mollo,False,Costume Design,alien,1118941.0,A Lien,8.0,1.0,Released,2023-05-11,0.0,15.0,False,0.0,,en,A Lien,0.6,Drama,,,,2023.0,alien,both
1980,Film | Costume Design in 1980,The Europeans,Judy Moorcroft,False,Costume Design,theeuropeans,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Direction in 1980,Apocalypse Now,Francis Ford Coppola,True,Direction,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Direction in 1980,The Deer Hunter,Michael Cimino,False,Direction,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Direction in 1980,Manhattan,Woody Allen,False,Direction,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Direction in 1980,Yanks,John Schlesinger,False,Direction,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Fellowship in 1980,John Huston,,True,Fellowship,johnhuston,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film in 1980,Manhattan,Woody Allen,True,Film,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film in 1980,Apocalypse Now,Francis Ford Coppola,False,Film,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film in 1980,The China Syndrome,James Bridges,False,Film,thechinasyndrome,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film in 1980,The Deer Hunter,Michael Cimino,False,Film,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film Editing in 1980,The Deer Hunter,Peter Zinner,True,Film Editing,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film Editing in 1980,Alien,Terry Rawlings,False,Film Editing,alien,1118941.0,A Lien,8.0,1.0,Released,2023-05-11,0.0,15.0,False,0.0,,en,A Lien,0.6,Drama,,,,2023.0,alien,both
1980,Film | Film Editing in 1980,Apocalypse Now,"Richard Marks, Walter Murch, Gerald B Greenberg, Lisa Fruchtman",False,Film Editing,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film Editing in 1980,Manhattan,Susan E Morse,False,Film Editing,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Most Promising Newcomer To Leading Film Roles in 1980,Dennis Christopher,Breaking Away,True,Most Promising Newcomer To Leading Film Roles,dennischristopher,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Most Promising Newcomer To Leading Film Roles in 1980,Gary Busey,The Buddy Holly Story,False,Most Promising Newcomer To Leading Film Roles,garybusey,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Most Promising Newcomer To Leading Film Roles in 1980,Sigourney Weaver,Alien,False,Most Promising Newcomer To Leading Film Roles,sigourneyweaver,635980.0,Sigourney Weaver,0.0,0.0,Released,2018-07-22,0.0,9.0,False,0.0,tt8685496,en,Sigourney Weaver,0.6,,,,,2018.0,sigourneyweaver,both
1980,Film | Most Promising Newcomer To Leading Film Roles in 1980,Ray Winstone,That Summer,False,Most Promising Newcomer To Leading Film Roles,raywinstone,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Outstanding British Contribution To Cinema in 1980,The Children's Film Foundation,,True,Outstanding British Contribution To Cinema,thechildrensfilmfoundation,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Production Design in 1980,Alien,Michael Seymour,True,Production Design,alien,1118941.0,A Lien,8.0,1.0,Released,2023-05-11,0.0,15.0,False,0.0,,en,A Lien,0.6,Drama,,,,2023.0,alien,both
1980,Film | Production Design in 1980,Apocalypse Now,Dean Tavoularis,False,Production Design,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Production Design in 1980,The Europeans,Jeremiah Rusconi,False,Production Design,theeuropeans,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Production Design in 1980,Yanks,Brian Morris,False,Production Design,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1980",The Tree Of Wooden Clogs,Ermanno Olmi,True,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",thetreeofwoodenclogs,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Screenplay in 1980,Manhattan,"Woody Allen, Marshall Brickman",True,Screenplay,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Screenplay in 1980,The China Syndrome,"Mike Gray, TS Cook, James Bridges",False,Screenplay,thechinasyndrome,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Screenplay in 1980,The Deer Hunter,Deric Washburn,False,Screenplay,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Screenplay in 1980,Yanks,"Colin Welland, Walter Bernstein",False,Screenplay,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Short Film in 1980,Butch Minds The Baby,Peter Webb,True,Short Film,butchmindsthebaby,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Short Film in 1980,Dilemma,Clive Mitchell,False,Short Film,dilemma,1280947.0,DILEMMA,0.0,0.0,Released,2022-11-19,0.0,0.0,False,0.0,,it,DILEMMA,0.0,Comedy,The Comedy Club,,,2022.0,dilemma,both
1980,Film | Short Film in 1980,Dream Doll,Bob Godfrey,False,Short Film,dreamdoll,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Short Film in 1980,Mr Pascal,Alison De Vere,False,Short Film,mrpascal,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Soundtrack in 1980,Alien,"Derrick Leather, Jim Shields, Bill Rowe",True,Soundtrack,alien,1118941.0,A Lien,8.0,1.0,Released,2023-05-11,0.0,15.0,False,0.0,,en,A Lien,0.6,Drama,,,,2023.0,alien,both
1980,Film | Soundtrack in 1980,Apocalypse Now,"Nat Boxer, Richard Cirincione, Walter Murch",False,Soundtrack,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Soundtrack in 1980,The Deer Hunter,"Darin Knight, Jim Klinger, Richard Portman",False,Soundtrack,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Soundtrack in 1980,Manhattan,"James Sabat, Dan Sable, Jack Higgins",False,Soundtrack,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Supporting Actor in 1980,Robert Duvall,Apocalypse Now,True,Supporting Actor,robertduvall,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Supporting Actor in 1980,Denholm Elliott,Saint Jack,False,Supporting Actor,denholmelliott,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Supporting Actor in 1980,John Hurt,Alien,False,Supporting Actor,johnhurt,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Supporting Actor in 1980,Christopher Walken,The Deer Hunter,False,Supporting Actor,christopherwalken,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Supporting Actress in 1980,Rachel Roberts,Yanks,True,Supporting Actress,rachelroberts,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Supporting Actress in 1980,Lisa Eichhorn,The Europeans,False,Supporting Actress,lisaeichhorn,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Supporting Actress in 1980,Mariel Hemingway,Manhattan,False,Supporting Actress,marielhemingway,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Supporting Actress in 1980,Meryl Streep,Manhattan,False,Supporting Actress,merylstreep,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Actor in 1981,John Hurt,The Elephant Man,True,Actor,johnhurt,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Actor in 1981,Dustin Hoffman,Kramer Vs Kramer,False,Actor,dustinhoffman,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Actor in 1981,Roy Scheider,All That Jazz,False,Actor,royscheider,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Actor in 1981,Peter Sellers,Being There,False,Actor,petersellers,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Actress in 1981,Judy Davis,My Brilliant Career,True,Actress,judydavis,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Actress in 1981,Shirley MacLaine,Being There,False,Actress,shirleymaclaine,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Actress in 1981,Bette Midler,The Rose,False,Actress,bettemidler,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Actress in 1981,Meryl Streep,Kramer Vs Kramer,False,Actress,merylstreep,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Animated Film in 1981,The Three Inventors,Michel Ocelot,True,Animated Film,thethreeinventors,345130.0,The Three Inventors,7.778,27.0,Released,1980-06-06,0.0,13.0,False,0.0,tt0216283,fr,Les trois inventeurs,1.651,Animation,AAA Production,France,French,1980.0,thethreeinventors,both
1981,Film | Animated Film in 1981,Bio Woman,Bob Godfrey,False,Animated Film,biowoman,494753.0,Bio Woman,2.0,1.0,Released,1980-01-01,0.0,11.0,False,0.0,tt0215570,en,Bio Woman,0.6,Animation,,,,1980.0,biowoman,both
1981,Film | Animated Film in 1981,The Cube,Kamil Pixa,False,Animated Film,thecube,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Animated Film in 1981,Seaside Woman,Oscar Grillo,False,Animated Film,seasidewoman,494855.0,Seaside Woman,2.0,1.0,Released,1980-01-01,0.0,5.0,False,0.0,tt0216189,en,Seaside Woman,0.6,"Music, Animation",,,,1980.0,seasidewoman,both
1981,Film | Cinematography in 1981,All That Jazz,Giuseppe Rotunno,True,Cinematography,allthatjazz,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Cinematography in 1981,The Black Stallion,Caleb Deschanel,False,Cinematography,theblackstallion,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Cinematography in 1981,The Elephant Man,Freddie Francis,False,Cinematography,theelephantman,1955.0,The Elephant Man,8.051,3157.0,Released,1980-10-09,26010864.0,124.0,False,5000000.0,tt0080678,en,The Elephant Man,19.285,"Drama, History","Brooksfilms, Paramount",United States of America,English,1980.0,theelephantman,both
1981,Film | Cinematography in 1981,Kagemusha,"Takao Saito, Masaharu Ueda",False,Cinematography,kagemusha,11953.0,Kagemusha,7.801,574.0,Released,1980-04-26,4000000.0,180.0,False,6000000.0,tt0080979,ja,影武者,16.807,"Action, Drama, History, War","TOHO, Kurosawa Production, 20th Century Fox, American Zoetrope","Japan, United States of America",Japanese,1980.0,kagemusha,both
1981,Film | Costume Design in 1981,Kagemusha,Seiichiro Momosawa,True,Costume Design,kagemusha,11953.0,Kagemusha,7.801,574.0,Released,1980-04-26,4000000.0,180.0,False,6000000.0,tt0080979,ja,影武者,16.807,"Action, Drama, History, War","TOHO, Kurosawa Production, 20th Century Fox, American Zoetrope","Japan, United States of America",Japanese,1980.0,kagemusha,both
1981,Film | Costume Design in 1981,All That Jazz,Albert Wolsky,False,Costume Design,allthatjazz,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Costume Design in 1981,Don Giovanni,Frantz Salieri,False,Costume Design,dongiovanni,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Costume Design in 1981,Flash Gordon,Danilo Donati,False,Costume Design,flashgordon,3604.0,Flash Gordon,6.18,866.0,Released,1980-09-01,27107960.0,111.0,False,35000000.0,tt0080745,en,Flash Gordon,18.503,"Science Fiction, Adventure, Action","Dino De Laurentiis Company, Starling Films, Universal Pictures, Famous Films (II)","Netherlands, United Kingdom, United States of America",English,1980.0,flashgordon,both
1981,Film | Direction in 1981,Kagemusha,Akira Kurosawa,True,Direction,kagemusha,11953.0,Kagemusha,7.801,574.0,Released,1980-04-26,4000000.0,180.0,False,6000000.0,tt0080979,ja,影武者,16.807,"Action, Drama, History, War","TOHO, Kurosawa Production, 20th Century Fox, American Zoetrope","Japan, United States of America",Japanese,1980.0,kagemusha,both
1981,Film | Direction in 1981,The Elephant Man,David Lynch,False,Direction,theelephantman,1955.0,The Elephant Man,8.051,3157.0,Released,1980-10-09,26010864.0,124.0,False,5000000.0,tt0080678,en,The Elephant Man,19.285,"Drama, History","Brooksfilms, Paramount",United States of America,English,1980.0,theelephantman,both
1981,Film | Direction in 1981,Fame,Alan Parker,False,Direction,fame,3537.0,Fame,6.452,399.0,Released,1980-05-16,42000000.0,134.0,False,8500000.0,tt0080716,en,Fame,19.391,"Drama, Music",Metro-Goldwyn-Mayer,United States of America,"Russian, English, Spanish, French",1980.0,fame,both
1981,Film | Direction in 1981,Kramer Vs Kramer,Robert Benton,False,Direction,kramervskramer,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Editing in 1981,All That Jazz,Alan Heim,True,Editing,allthatjazz,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Editing in 1981,The Elephant Man,Anne V Coates,False,Editing,theelephantman,1955.0,The Elephant Man,8.051,3157.0,Released,1980-10-09,26010864.0,124.0,False,5000000.0,tt0080678,en,The Elephant Man,19.285,"Drama, History","Brooksfilms, Paramount",United States of America,English,1980.0,theelephantman,both
1981,Film | Editing in 1981,Fame,Gerry Hambling,False,Editing,fame,3537.0,Fame,6.452,399.0,Released,1980-05-16,42000000.0,134.0,False,8500000.0,tt0080716,en,Fame,19.391,"Drama, Music",Metro-Goldwyn-Mayer,United States of America,"Russian, English, Spanish, French",1980.0,fame,both
1981,Film | Editing in 1981,Kramer Vs Kramer,Jerry Greenberg,False,Editing,kramervskramer,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Fellowship in 1981,Emeric Pressburger,,True,Fellowship,emericpressburger,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Fellowship in 1981,Michael Powell,,True,Fellowship,michaelpowell,936973.0,Michael Powell,0.0,0.0,Released,2005-02-10,0.0,0.0,False,0.0,tt0782196,en,Michael Powell,0.6,,,,,2005.0,michaelpowell,both
1981,Film | Fellowship in 1981,Abel Gance,,True,Fellowship,abelgance,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Film in 1981,The Elephant Man,Jonathan Sanger,True,Film,theelephantman,1955.0,The Elephant Man,8.051,3157.0,Released,1980-10-09,26010864.0,124.0,False,5000000.0,tt0080678,en,The Elephant Man,19.285,"Drama, History","Brooksfilms, Paramount",United States of America,English,1980.0,theelephantman,both
1981,Film | Film in 1981,Being There,Andrew Braunsberg,False,Film,beingthere,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Film in 1981,Kagemusha,"Akira Kurosawa, Tomoyuki Tanaka",False,Film,kagemusha,11953.0,Kagemusha,7.801,574.0,Released,1980-04-26,4000000.0,180.0,False,6000000.0,tt0080979,ja,影武者,16.807,"Action, Drama, History, War","TOHO, Kurosawa Production, 20th Century Fox, American Zoetrope","Japan, United States of America",Japanese,1980.0,kagemusha,both
1981,Film | Film in 1981,Kramer Vs Kramer,Stanley R Jaffe,False,Film,kramervskramer,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Most Promising Newcomer To Leading Film Roles in 1981,Judy Davis,My Brilliant Career,True,Most Promising Newcomer To Leading Film Roles,judydavis,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Most Promising Newcomer To Leading Film Roles in 1981,Sonia Braga,Dona Flor And Her Two Husbands (Dona Flor E Seus Dois Maridos),False,Most Promising Newcomer To Leading Film Roles,soniabraga,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Most Promising Newcomer To Leading Film Roles in 1981,Gordon Sinclair,Gregory's Girl,False,Most Promising Newcomer To Leading Film Roles,gordonsinclair,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Most Promising Newcomer To Leading Film Roles in 1981,Debra Winger,Urban Cowboy,False,Most Promising Newcomer To Leading Film Roles,debrawinger,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Original Film Music in 1981,The Empire Strikes Back,John Williams,True,Original Film Music,theempirestrikesback,1891.0,The Empire Strikes Back,8.4,15773.0,Released,1980-05-20,538400000.0,124.0,False,18000000.0,tt0080684,en,The Empire Strikes Back,35.265,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,1980.0,theempirestrikesback,both
1981,Film | Original Film Music in 1981,Breaking Glass,Hazel O'Connor,False,Original Film Music,breakingglass,26803.0,Breaking Glass,6.981,26.0,Released,1980-10-01,0.0,104.0,False,0.0,tt0080469,en,Breaking Glass,3.175,"Music, Drama",Allied Stars,United Kingdom,English,1980.0,breakingglass,both
1981,Film | Original Film Music in 1981,Fame,Michael Gore,False,Original Film Music,fame,3537.0,Fame,6.452,399.0,Released,1980-05-16,42000000.0,134.0,False,8500000.0,tt0080716,en,Fame,19.391,"Drama, Music",Metro-Goldwyn-Mayer,United States of America,"Russian, English, Spanish, French",1980.0,fame,both
1981,Film | Original Film Music in 1981,Flash Gordon,"Queen, Howard Blake",False,Original Film Music,flashgordon,3604.0,Flash Gordon,6.18,866.0,Released,1980-09-01,27107960.0,111.0,False,35000000.0,tt0080745,en,Flash Gordon,18.503,"Science Fiction, Adventure, Action","Dino De Laurentiis Company, Starling Films, Universal Pictures, Famous Films (II)","Netherlands, United Kingdom, United States of America",English,1980.0,flashgordon,both
1981,Film | Outstanding British Contribution To Cinema in 1981,Kevin Brownlow,,True,Outstanding British Contribution To Cinema,kevinbrownlow,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Production Design in 1981,The Elephant Man,Stuart Craig,True,Production Design,theelephantman,1955.0,The Elephant Man,8.051,3157.0,Released,1980-10-09,26010864.0,124.0,False,5000000.0,tt0080678,en,The Elephant Man,19.285,"Drama, History","Brooksfilms, Paramount",United States of America,English,1980.0,theelephantman,both
1981,Film | Production Design in 1981,All That Jazz,Philip Rosenberg,False,Production Design,allthatjazz,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Production Design in 1981,The Empire Strikes Back,Norman Reynolds,False,Production Design,theempirestrikesback,1891.0,The Empire Strikes Back,8.4,15773.0,Released,1980-05-20,538400000.0,124.0,False,18000000.0,tt0080684,en,The Empire Strikes Back,35.265,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,1980.0,theempirestrikesback,both
1981,Film | Production Design in 1981,Flash Gordon,Danilo Donati,False,Production Design,flashgordon,3604.0,Flash Gordon,6.18,866.0,Released,1980-09-01,27107960.0,111.0,False,35000000.0,tt0080745,en,Flash Gordon,18.503,"Science Fiction, Adventure, Action","Dino De Laurentiis Company, Starling Films, Universal Pictures, Famous Films (II)","Netherlands, United Kingdom, United States of America",English,1980.0,flashgordon,both
1981,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1981",Category not awarded this year,,True,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",categorynotawardedthisyear,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Screenplay in 1981,Being There,Jerzy Kosinski,True,Screenplay,beingthere,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Screenplay in 1981,Airplane!,"Jim Abrahams, David Zucker, Jerry Zucker",False,Screenplay,airplane,813.0,Airplane!,7.282,4057.0,Released,1980-07-02,83453539.0,88.0,False,3500000.0,tt0080339,en,Airplane!,32.122,Comedy,"Paramount, Howard W. Koch Productions",United States of America,English,1980.0,airplane,both
1981,Film | Screenplay in 1981,The Elephant Man,"Christopher De Vore, Eric Bergren, David Lynch",False,Screenplay,theelephantman,1955.0,The Elephant Man,8.051,3157.0,Released,1980-10-09,26010864.0,124.0,False,5000000.0,tt0080678,en,The Elephant Man,19.285,"Drama, History","Brooksfilms, Paramount",United States of America,English,1980.0,theelephantman,both
1981,Film | Screenplay in 1981,Kramer Vs Kramer,Robert Benton,False,Screenplay,kramervskramer,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Short Film in 1981,Sredni Vashtar,Andrew Birkin,True,Short Film,srednivashtar,244412.0,Sredni Vashtar,6.3,3.0,Released,1981-09-01,0.0,27.0,False,0.0,tt0084722,en,Sredni Vashtar,0.6,Drama,Laurentic Film Productions,United Kingdom,English,1981.0,srednivashtar,both
1981,Film | Short Film in 1981,Box On,Lindsey Clennell,False,Short Film,boxon,494063.0,Box On,6.0,1.0,Released,1980-10-01,0.0,38.0,False,0.0,tt0215580,en,Box On,0.6,,Lindsey Cennell,United Kingdom,English,1980.0,boxon,both
1981,Film | Short Film in 1981,Dollor Bottom,Roger Christian,False,Short Film,dollorbottom,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Short Film in 1981,Possessions,Andrew Bogle,False,Short Film,possessions,93851.0,Possessions,5.72,25.0,Released,2012-03-07,0.0,98.0,False,0.0,tt1798229,fr,Possessions,1.811,"Drama, Thriller",CinéCinéma,France,French,2012.0,possessions,both
1981,Film | Sound in 1981,Fame,"Chris Newman, Les Wiggins, Michael J Kohut",True,Sound,fame,3537.0,Fame,6.452,399.0,Released,1980-05-16,42000000.0,134.0,False,8500000.0,tt0080716,en,Fame,19.391,"Drama, Music",Metro-Goldwyn-Mayer,United States of America,"Russian, English, Spanish, French",1980.0,fame,both
1981,Film | Sound in 1981,All That Jazz,"Maurice Schell, Chris Newman, Dick Vorisek",False,Sound,allthatjazz,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Sound in 1981,Don Giovanni,"Jean-Louis Ducarme, Jacques Maumont, Michelle Nenny",False,Sound,dongiovanni,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Sound in 1981,The Empire Strikes Back,"Peter Sutton, Ben Burtt, Bill Varney",False,Sound,theempirestrikesback,1891.0,The Empire Strikes Back,8.4,15773.0,Released,1980-05-20,538400000.0,124.0,False,18000000.0,tt0080684,en,The Empire Strikes Back,35.265,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,1980.0,theempirestrikesback,both
1981,Film | Sound in 1981,The Rose,"Jim Webb, Chris McLaughlin, Kay Rose, Ted Soderberg",False,Sound,therose,,,,,,,,,,,,,,,,,,,,,left_only
1981,Film | Special Award in 1981,Jimmy Wright,,True,Special Award,jimmywright,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Actor in 1982,Burt Lancaster,Atlantic City,True,Actor,burtlancaster,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Actor in 1982,Robert De Niro,Raging Bull,False,Actor,robertdeniro,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Actor in 1982,Bob Hoskins,The Long Good Friday,False,Actor,bobhoskins,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Actor in 1982,Jeremy Irons,The French Lieutenant's Woman,False,Actor,jeremyirons,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Actress in 1982,Meryl Streep,The French Lieutenant's Woman,True,Actress,merylstreep,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Actress in 1982,Mary Tyler Moore,Ordinary People,False,Actress,marytylermoore,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Actress in 1982,Maggie Smith,Quartet,False,Actress,maggiesmith,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Actress in 1982,Sissy Spacek,Coal Miner's Daughter,False,Actress,sissyspacek,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Animated Film in 1982,The Sweater,Sheldon Cohen,True,Animated Film,thesweater,147391.0,The Sweater,6.1,17.0,Released,1980-12-31,0.0,10.0,False,0.0,tt0134127,fr,Le chandail,1.74,Animation,ONF | NFB,Canada,French,1980.0,thesweater,both
1982,Film | Animated Film in 1982,Beginnings,Clorinda Warny,False,Animated Film,beginnings,279426.0,Beginnings,5.0,1.0,Released,1980-01-02,0.0,9.0,False,0.0,tt0215553,fr,Premiers Jours,0.6,Animation,ONF | NFB,Canada,French,1980.0,beginnings,both
1982,Film | Animated Film in 1982,Creole,Sam Weiss,False,Animated Film,creole,954360.0,Creole,0.0,0.0,Released,1981-01-01,0.0,8.0,False,0.0,,en,Creole,0.6,Animation,,,English,1981.0,creole,both
1982,Film | Cinematography in 1982,Tess,"Geoffrey Unsworth, Ghislain Cloquet",True,Cinematography,tess,,,,,,,,,,,,,,,,,,,,,left_only
1982,Film | Cinematography in 1982,Chariots Of Fire,David Watkin,False,Cinematography,chariotsoffire,9443.0,Chariots of Fire,6.794,805.0,Released,1981-05-15,58972904.0,124.0,False,5500000.0,tt0082158,en,Chariots of Fire,13.492,"Drama, History","The Ladd Company, Enigma Productions, Allied Stars, Ltd., Warner Bros. Pictures, 20th Century Fox",United Kingdom,English,1981.0,chariotsoffire,both
1982,Film | Cinematography in 1982,The French Lieutenant's Woman,Freddie Francis,False,Cinematography,thefrenchlieutenantswoman,12537.0,The French Lieutenant's Woman,6.419,180.0,Released,1981-08-28,2689068.0,124.0,False,0.0,tt0082416,en,The French Lieutenant's Woman,9.954,"Drama, Romance, History",Juniper Films,United Kingdom,English,1981.0,thefrenchlieutenantswoman,both
